Rank,Club,Country,Level,Elo,From,To
1,Valencia,ESP,1,1943.23278809,2004-05-24,2004-08-11
2,Arsenal,ENG,1,1903.2043457,2004-05-16,2004-08-10
3,Barcelona,ESP,1,1892.17028809,2004-05-24,2004-08-11
4,Depor,ESP,1,1885.51501465,2004-05-24,2004-08-11
5,Porto,POR,1,1881.4473877,2004-05-27,2004-08-10
6,Real Madrid,ESP,1,1858.45800781,2004-05-24,2004-08-11
7,Milan,ITA,1,1854.11608887,2004-05-17,2004-08-10
8,Man United,ENG,1,1850.66540527,2004-05-16,2004-08-10
9,Lyon,FRA,1,1840.87475586,2004-05-27,2004-08-06
10,Chelsea,ENG,1,1838.18664551,2004-05-27,2004-08-10
11,Monaco,FRA,1,1824.6920166,2004-05-27,2004-08-07
12,Sevilla,ESP,1,1818.22814941,2004-05-24,2004-08-11
13,Juventus,ITA,1,1808.86096191,2004-05-24,2004-08-07
14,Bilbao,ESP,1,1801.85461426,2004-05-24,2004-08-07
15,Bayern,GER,1,1801.26049805,2004-05-24,2004-08-07
16,Roma,ITA,1,1797.8293457,2004-05-27,2004-08-10
17,Villarreal,ESP,1,1796.56359863,2004-05-27,2004-08-10
18,Betis,ESP,1,1796.03442383,2004-05-27,2004-08-11
19,Paris SG,FRA,1,1795.30395508,2004-05-27,2004-08-07
20,PSV,NED,1,1793.96154785,2004-05-24,2004-08-07
21,Sociedad,ESP,1,1790.98669434,2004-05-24,2004-08-07
22,Auxerre,FRA,1,1778.94921875,2004-05-27,2004-08-07
23,Liverpool,ENG,1,1773.29626465,2004-05-23,2004-08-07
24,Newcastle,ENG,1,1770.78222656,2004-05-23,2004-08-07
25,Malaga,ESP,1,1767.38037109,2004-05-24,2004-08-06
26,Celtic,SCO,1,1767.27160645,2004-05-23,2004-08-06
27,Werder,GER,1,1765.5970459,2004-05-23,2004-08-06
28,Atletico,ESP,1,1765.36694336,2004-05-24,2004-08-11
29,Mallorca,ESP,1,1764.89611816,2004-05-24,2004-08-11
30,Ajax,NED,1,1761.75549316,2004-05-24,2004-08-11
31,Stuttgart,GER,1,1755.1505127,2004-05-24,2004-08-08
32,Espanyol,ESP,1,1753.10668945,2004-05-24,2004-08-11
33,Osasuna,ESP,1,1750.44555664,2004-05-24,2004-08-11
34,Inter,ITA,1,1749.78918457,2004-05-17,2004-08-10
35,Leverkusen,GER,1,1746.87805176,2004-05-27,2004-08-07
36,Panathinaikos,GRE,1,1743.52124023,2004-05-27,2004-08-07
37,Sochaux,FRA,1,1743.24450684,2004-05-27,2004-08-07
38,Olympiakos,GRE,1,1739.4666748,2004-05-27,2004-08-07
39,Zaragoza,ESP,1,1737.6463623,2004-05-27,2004-08-07
40,Celta,ESP,2,1737.13842773,2004-07-04,2004-08-07
41,Marseille,FRA,1,1735.51025391,2004-05-27,2004-08-07
42,Benfica,POR,1,1733.66516113,2004-05-27,2004-08-10
43,Nantes,FRA,1,1732.68908691,2004-05-27,2004-08-07
44,Albacete,ESP,1,1729.78564453,2004-05-27,2004-08-07
45,Lazio,ITA,1,1729.64855957,2004-05-27,2004-08-07
46,Valladolid,ESP,2,1724.61523438,2004-07-04,2004-08-04
47,Bordeaux,FRA,1,1723.22253418,2004-05-27,2004-07-28
48,Anderlecht,BEL,1,1722.22497559,2004-05-24,2004-07-28
49,Santander,ESP,1,1711.22436523,2004-06-12,2004-07-31
50,Wisla,POL,1,1709.37121582,2004-06-12,2004-07-27
51,Dortmund,GER,1,1709.16442871,2004-05-27,2004-08-07
52,Feyenoord,NED,1,1708.76062012,2004-05-27,2004-08-11
53,Aston Villa,ENG,1,1707.40441895,2004-05-27,2004-08-10
54,Rennes,FRA,1,1704.87255859,2004-06-20,2004-08-07
55,Parma,ITA,1,1704.78942871,2004-06-20,2004-08-07
56,Levante,ESP,1,1703.50390625,2004-07-04,2004-08-07
57,Brugge,BEL,1,1693.35375977,2004-06-06,2004-07-28
58,Fulham,ENG,1,1692.62634277,2004-05-31,2004-08-10
59,Alaves,ESP,2,1692.08776855,2004-06-20,2004-08-11
60,Sparta Praha,CZE,1,1688.13928223,2004-06-20,2004-07-28
61,Bochum,GER,1,1687.59790039,2004-06-20,2004-08-07
62,Numancia,ESP,1,1683.63659668,2004-07-16,2004-07-30
63,Basel,SUI,1,1681.48461914,2004-07-18,2004-07-23
64,Lille,FRA,1,1678.52416992,2004-07-18,2004-07-23
65,Nice,FRA,1,1678.14904785,2004-06-20,2004-07-23
66,Fenerbahce,TUR,1,1677.83789062,2004-06-20,2004-07-23
67,Udinese,ITA,1,1674.96166992,2004-07-16,2004-07-23
68,Getafe,ESP,1,1674.2767334,2004-07-16,2004-07-23
69,Lens,FRA,1,1673.31262207,2004-07-16,2004-07-28
70,Bolton,ENG,1,1673.30163574,2004-07-16,2004-07-28
71,Dynamo Kyiv,UKR,1,1671.20202637,2004-07-21,2004-07-25
72,Schalke,GER,1,1670.82727051,2004-07-21,2004-08-02
73,Sporting,POR,1,1670.12182617,2004-07-21,2004-08-02
74,Charlton,ENG,1,1664.98071289,2004-06-14,2004-08-01
75,Legia,POL,1,1663.3795166,2004-06-14,2004-07-27
76,Blackburn,ENG,1,1662.03894043,2004-06-14,2004-08-10
77,Chievo,ITA,1,1660.8046875,2004-06-20,2004-08-10
78,Middlesbrough,ENG,1,1659.70080566,2004-06-20,2004-08-10
79,Southampton,ENG,1,1659.44433594,2004-06-20,2004-08-10
80,Recreativo,ESP,2,1659.28161621,2004-06-20,2004-08-10
81,Man City,ENG,1,1653.60412598,2004-06-09,2004-08-08
