Rank,Club,Country,Level,Elo,From,To
1,Valencia,ESP,1,1903.14733887,2002-05-16,2002-08-14
2,Real Madrid,ESP,1,1900.32299805,2002-05-16,2002-08-14
3,Bayern,GER,1,1893.61682129,2002-05-16,2002-08-10
4,Man United,ENG,1,1887.80456543,2002-05-12,2002-08-14
5,Arsenal,ENG,1,1882.88989258,2002-05-12,2002-08-14
6,Depor,ESP,1,1874.43554688,2002-05-16,2002-08-14
7,Liverpool,ENG,1,1873.35571289,2002-05-16,2002-08-14
8,Juventus,ITA,1,1867.03771973,2002-05-16,2002-08-14
9,Barcelona,ESP,1,1861.10290527,2002-05-16,2002-08-14
10,Leverkusen,GER,1,1859.08093262,2002-05-16,2002-08-10
11,Roma,ITA,1,1856.97277832,2002-05-09,2002-08-10
12,Dortmund,GER,1,1842.20568848,2002-05-16,2002-08-09
13,Celta,ESP,1,1812.34411621,2002-05-16,2002-08-14
14,Inter,ITA,1,1802.94152832,2002-05-06,2002-08-14
15,Schalke,GER,1,1785.36462402,2002-05-16,2002-08-10
16,Malaga,ESP,1,1784.07250977,2002-05-16,2002-08-09
17,Leeds,ENG,1,1780.51989746,2002-05-16,2002-08-09
18,Hertha,GER,1,1780.15441895,2002-05-16,2002-08-09
19,PSV,NED,1,1777.66418457,2002-05-09,2002-08-10
20,Chelsea,ENG,1,1775.4440918,2002-05-12,2002-08-10
21,Lyon,FRA,1,1774.26721191,2002-05-09,2002-08-02
22,Olympiakos,GRE,1,1771.86767578,2002-05-12,2002-08-02
23,Betis,ESP,1,1769.70812988,2002-05-16,2002-08-14
24,Lazio,ITA,1,1767.06970215,2002-05-12,2002-08-14
25,Newcastle,ENG,1,1764.67175293,2002-05-16,2002-08-14
26,Sociedad,ESP,1,1762.83898926,2002-05-16,2002-08-14
27,Werder,GER,1,1762.4519043,2002-05-16,2002-08-11
28,Sevilla,ESP,1,1761.23168945,2002-05-16,2002-08-11
29,Rayo Vallecano,ESP,1,1759.25463867,2002-05-16,2002-08-11
30,Milan,ITA,1,1756.12341309,2002-05-12,2002-08-11
31,Panathinaikos,GRE,1,1753.20007324,2002-05-12,2002-08-11
32,Alaves,ESP,1,1743.99768066,2002-05-16,2002-08-14
33,Mallorca,ESP,1,1739.46728516,2002-05-16,2002-08-13
34,Espanyol,ESP,1,1738.99829102,2002-05-16,2002-08-13
35,Dynamo Kyiv,UKR,1,1730.74804688,2002-08-01,2002-08-03
36,Celtic,SCO,1,1729.62145996,2002-07-08,2002-08-03
37,Paris SG,FRA,1,1729.43969727,2002-07-08,2002-08-03
38,Valladolid,ESP,1,1723.70288086,2002-06-08,2002-08-14
39,Lens,FRA,1,1722.56030273,2002-06-08,2002-08-03
40,Stuttgart,GER,1,1722.50878906,2002-06-08,2002-08-10
41,Wolfsburg,GER,1,1721.11999512,2002-06-08,2002-08-10
42,Villarreal,ESP,1,1720.09106445,2002-05-16,2002-08-10
43,Lautern,GER,1,1719.24401855,2002-05-16,2002-08-10
44,Lille,FRA,1,1719.24121094,2002-05-16,2002-08-03
45,Sparta Praha,CZE,1,1714.53662109,2002-08-01,2002-08-03
46,Muenchen 60,GER,1,1711.94873047,2002-05-16,2002-08-03
47,Bilbao,ESP,1,1711.83886719,2002-05-16,2002-08-03
48,Feyenoord,NED,1,1711.07336426,2002-05-16,2002-08-03
49,Galatasaray,TUR,1,1709.58874512,2002-05-12,2002-08-03
50,Santander,ESP,1,1697.46911621,2002-07-02,2002-08-03
51,Osasuna,ESP,1,1696.10461426,2002-05-16,2002-08-03
52,Nantes,FRA,1,1695.2388916,2002-05-16,2002-08-03
53,Parma,ITA,1,1694.90649414,2002-05-16,2002-08-03
54,AEK,GRE,1,1694.72290039,2002-05-16,2002-08-03
55,Ajax,NED,1,1694.41369629,2002-05-16,2002-08-03
56,Las Palmas,ESP,2,1691.09667969,2002-07-02,2002-08-03
57,Hamburg,GER,1,1690.29089355,2002-05-20,2002-08-03
58,Sporting,POR,1,1687.81323242,2002-08-01,2002-08-03
59,Bordeaux,FRA,1,1687.4552002,2002-05-20,2002-08-03
60,Porto,POR,1,1686.56860352,2002-08-01,2002-08-07
61,Aston Villa,ENG,1,1685.53857422,2002-05-26,2002-08-13
62,Zaragoza,ESP,2,1682.58447266,2002-07-02,2002-08-08
63,Atletico,ESP,1,1681.13647461,2002-07-02,2002-08-08
64,Auxerre,FRA,1,1681.09277344,2002-05-16,2002-08-03
65,West Ham,ENG,1,1678.90698242,2002-05-16,2002-08-03
66,Hannover,GER,1,1677.03662109,2002-07-02,2002-08-03
67,Bologna,ITA,1,1675.85314941,2002-05-12,2002-08-04
68,Slovan Liberec,CZE,1,1673.92834473,2002-08-01,2002-08-04
69,Blackburn,ENG,1,1673.32922363,2002-05-12,2002-08-11
70,Tottenham,ENG,1,1673.14111328,2002-05-12,2002-08-11
71,Southampton,ENG,1,1671.3494873,2002-05-12,2002-08-14
72,Chievo,ITA,1,1670.30297852,2002-05-12,2002-08-07
73,Shakhtar,UKR,1,1667.95458984,2002-08-01,2002-08-03
74,Boavista,POR,1,1664.59875488,2002-08-01,2002-08-03
75,Grasshoppers,SUI,1,1664.33251953,2002-08-01,2002-08-03
76,Piacenza,ITA,1,1662.63220215,2002-07-28,2002-08-03
77,Atalanta,ITA,1,1658.47814941,2002-07-28,2002-08-03
78,Troyes,FRA,1,1657.84082031,2002-07-28,2002-08-03
79,Perugia,ITA,1,1657.74157715,2002-07-28,2002-08-04
80,Brescia,ITA,1,1657.59912109,2002-07-28,2002-08-04
81,Torino,ITA,1,1654.57531738,2002-07-21,2002-08-04
82,Man City,ENG,1,1653.81079102,2002-07-21,2002-08-04
83,Middlesbrough,ENG,1,1653.53222656,2002-07-21,2002-08-04
84,Levski,BUL,1,1651.16503906,2002-08-01,2002-08-04
85,Tenerife,ESP,2,1650.89025879,2002-07-21,2002-08-04
86,Marseille,FRA,1,1650.40222168,2002-07-21,2002-08-03
87,Gladbach,GER,1,1650.00305176,2002-07-21,2002-08-03
88,Charlton,ENG,1,1648.57446289,2002-07-18,2002-08-04
89,Monaco,FRA,1,1645.87121582,2002-07-18,2002-08-03
90,Rennes,FRA,1,1644.87719727,2002-07-14,2002-08-03
91,Bielefeld,GER,1,1644.54040527,2002-07-14,2002-08-03
92,Heerenveen,NED,1,1644.50170898,2002-07-14,2002-08-03
93,Vitesse,NED,1,1643.99316406,2002-07-18,2002-08-03
94,Basel,SUI,1,1643.21191406,2002-08-01,2002-08-03
95,Sochaux,FRA,1,1643.14453125,2002-08-01,2002-08-03
96,Rangers,SCO,1,1642.92346191,2002-08-01,2002-08-03
97,Anderlecht,BEL,1,1640.40869141,2002-08-01,2002-08-03
98,Recreativo,ESP,1,1640.29284668,2002-08-01,2002-08-03
99,Ipswich,ENG,2,1640.24401855,2002-08-01,2002-08-03
100,Bastia,FRA,1,1640.0859375,2002-08-01,2002-08-03
None,Fenerbahce,TUR,1,1639.70874023,2002-08-01,2002-08-03
None,Fulham,ENG,1,1636.84643555,2002-05-31,2002-08-09
None,Sunderland,ENG,1,1636.36364746,2002-05-12,2002-08-14
None,Gijon,ESP,2,1633.32421875,2002-05-26,2002-08-14
None,Everton,ENG,1,1633.16320801,2002-05-12,2002-08-14
None,Elche,ESP,2,1632.88256836,2002-05-26,2002-08-14
None,Bochum,GER,1,1631.5078125,2002-07-02,2002-08-10
None,Sedan,FRA,1,1626.60681152,2002-05-05,2002-08-03
None,Freiburg,GER,2,1626.28417969,2002-07-02,2002-08-11
None,Brugge,BEL,1,1623.43664551,2002-08-01,2002-08-07
None,Udinese,ITA,1,1622.20654297,2002-05-06,2002-08-14
None,Rostock,GER,1,1621.18371582,2002-05-16,2002-08-14
None,Montpellier,FRA,1,1620.09204102,2002-05-05,2002-08-03
None,Fuerth,GER,2,1619.67749023,2002-05-16,2002-08-10
None,Cottbus,GER,1,1616.5546875,2002-05-16,2002-08-10
None,Koeln,GER,2,1614.48266602,2002-07-02,2002-08-12
None,Nuernberg,GER,1,1613.81848145,2002-05-16,2002-08-10
None,Mainz,GER,2,1612.27600098,2002-05-16,2002-08-10
None,Lok Moskva,RUS,1,1612.15991211,2002-07-29,2002-08-03
None,Rosenborg,NOR,1,1608.53674316,2002-08-01,2002-08-01
None,FC Kobenhavn,DEN,1,1607.89245605,2002-08-01,2002-08-04
None,Verona,ITA,2,1604.64025879,2002-07-02,2002-08-14
None,Oviedo,ESP,2,1604.44934082,2002-05-26,2002-08-14
None,Slavia Praha,CZE,1,1603.64868164,2002-08-01,2002-08-05
None,Eibar,ESP,2,1603.18066406,2002-05-26,2002-08-14
None,Wisla,POL,1,1601.57458496,2002-08-01,2002-08-04
None,Reggina,ITA,1,1600.88659668,2002-07-02,2002-08-14
None,Bolton,ENG,1,1598.36950684,2002-05-12,2002-08-14
