Rank,Club,Country,Level,Elo,From,To
1,Real Madrid,ESP,1,2075.30761719,2014-08-01,2014-08-07
2,Bayern,GER,1,2038.06408691,2014-08-01,2014-08-07
3,Barcelona,ESP,1,2024.79772949,2014-08-01,2014-08-07
4,Atletico,ESP,1,1975.83508301,2014-08-01,2014-08-07
5,Man City,ENG,1,1953.60534668,2014-08-01,2014-08-07
6,Chelsea,ENG,1,1916.96533203,2014-08-01,2014-08-07
7,Dortmund,GER,1,1912.4744873,2014-08-01,2014-08-07
8,Liverpool,ENG,1,1898.12426758,2014-08-01,2014-08-07
9,Juventus,ITA,1,1896.18835449,2014-08-01,2014-08-07
10,Paris SG,FRA,1,1868.32507324,2014-08-01,2014-08-05
11,Benfica,POR,1,1868.03100586,2014-08-01,2014-08-07
12,Arsenal,ENG,1,1863.55834961,2014-08-01,2014-08-07
13,Man United,ENG,1,1856.91870117,2014-08-01,2014-08-07
14,Sevilla,ESP,1,1845.33789062,2014-08-01,2014-08-07
15,Bilbao,ESP,1,1841.38012695,2014-08-01,2014-08-07
16,Everton,ENG,1,1826.75085449,2014-08-01,2014-08-07
17,Sociedad,ESP,1,1807.25097656,2014-08-01,2014-08-07
18,Schalke,GER,1,1806.82592773,2014-08-01,2014-08-07
19,Valencia,ESP,1,1803.5447998,2014-08-01,2014-08-07
20,Tottenham,ENG,1,1799.15063477,2014-08-01,2014-08-07
21,Napoli,ITA,1,1788.27307129,2014-08-01,2014-08-07
22,Leverkusen,GER,1,1786.29919434,2014-08-01,2014-08-07
23,Villarreal,ESP,1,1783.34313965,2014-08-01,2014-08-07
24,Porto,POR,1,1772.94677734,2014-08-01,2014-08-07
25,Shakhtar,UKR,1,1766.99157715,2014-08-01,2014-08-01
26,Wolfsburg,GER,1,1766.70788574,2014-08-01,2014-08-06
27,Roma,ITA,1,1760.28088379,2014-08-01,2014-08-07
28,Malaga,ESP,1,1753.95898438,2014-08-01,2014-08-07
29,Celta,ESP,1,1748.88037109,2014-08-01,2014-08-07
30,Gladbach,GER,1,1748.22705078,2014-08-01,2014-08-07
31,Levante,ESP,1,1740.72717285,2014-08-01,2014-08-06
32,Zenit,RUS,1,1728.22741699,2014-08-01,2014-08-02
33,Lille,FRA,1,1725.01367188,2014-08-01,2014-08-05
34,Milan,ITA,1,1719.5246582,2014-08-01,2014-08-02
35,Sparta Praha,CZE,1,1718.36450195,2014-08-01,2014-08-02
36,Southampton,ENG,1,1717.09216309,2014-08-01,2014-08-02
37,Getafe,ESP,1,1715.49243164,2014-08-01,2014-08-02
38,CSKA Moskva,RUS,1,1715.23193359,2014-08-01,2014-08-02
39,Fiorentina,ITA,1,1713.41174316,2014-08-01,2014-08-06
40,Mainz,GER,1,1712.30053711,2014-08-01,2014-08-06
41,Monaco,FRA,1,1708.18457031,2014-08-01,2014-08-02
42,Basel,SUI,1,1703.41040039,2014-08-01,2014-08-02
43,Saint-Etienne,FRA,1,1703.24291992,2014-08-01,2014-08-05
44,Augsburg,GER,1,1702.85473633,2014-08-01,2014-08-06
45,Lyon,FRA,1,1702.63269043,2014-08-01,2014-08-05
46,Espanyol,ESP,1,1701.20617676,2014-08-01,2014-08-06
47,Olympiakos,GRE,1,1698.31933594,2014-08-01,2014-08-05
48,Rayo Vallecano,ESP,1,1698.21398926,2014-08-01,2014-08-05
49,Stoke,ENG,1,1696.96386719,2014-08-01,2014-08-05
50,Hoffenheim,GER,1,1689.33227539,2014-08-01,2014-08-06
51,Almeria,ESP,1,1688.40087891,2014-08-01,2014-08-06
52,Fenerbahce,TUR,1,1688.14465332,2014-08-01,2014-08-06
53,Osasuna,ESP,2,1687.42443848,2014-08-01,2014-08-06
54,Elche,ESP,1,1682.12097168,2014-08-01,2014-08-06
55,Sporting,POR,1,1681.9083252,2014-08-01,2014-08-06
56,Galatasaray,TUR,1,1681.86547852,2014-08-01,2014-08-06
57,Metalist,UKR,1,1680.77624512,2014-08-01,2014-08-02
58,Valladolid,ESP,2,1679.96704102,2014-08-01,2014-08-03
59,Viktoria Plzen,CZE,1,1678.00341797,2014-08-01,2014-08-03
60,Inter,ITA,1,1677.44067383,2014-08-01,2014-08-06
61,Salzburg,AUT,1,1676.32116699,2014-08-01,2014-08-02
62,Hannover,GER,1,1675.52490234,2014-08-01,2014-08-02
63,Granada,ESP,1,1672.5012207,2014-08-01,2014-08-02
64,Swansea,ENG,1,1671.23815918,2014-08-01,2014-08-02
65,Ajax,NED,1,1670.93603516,2014-08-01,2014-08-02
66,Steaua,ROM,1,1665.21459961,2014-08-01,2014-08-02
67,Betis,ESP,2,1664.32617188,2014-08-01,2014-08-06
68,Parma,ITA,1,1663.19287109,2014-08-01,2014-08-06
69,Lok Moskva,RUS,1,1662.69567871,2014-08-01,2014-08-03
70,West Ham,ENG,1,1662.20593262,2014-08-01,2014-08-03
71,Freiburg,GER,1,1661.84484863,2014-08-01,2014-08-03
72,Frankfurt,GER,1,1657.80725098,2014-08-01,2014-08-06
73,Marseille,FRA,1,1656.43505859,2014-08-01,2014-08-03
74,Dynamo Moskva,RUS,1,1649.23046875,2014-08-01,2014-08-03
75,Hertha,GER,1,1649.09851074,2014-08-01,2014-08-07
76,Newcastle,ENG,1,1649.03466797,2014-08-01,2014-08-07
77,Depor,ESP,1,1647.80505371,2014-08-01,2014-08-07
78,Sunderland,ENG,1,1645.95446777,2014-08-01,2014-08-07
79,Lazio,ITA,1,1645.31530762,2014-08-01,2014-08-07
80,Dnipro,UKR,1,1642.23913574,2014-08-01,2014-08-02
81,Werder,GER,1,1640.87512207,2014-08-01,2014-08-02
82,Torino,ITA,1,1638.95678711,2014-08-01,2014-08-02
83,Leicester,ENG,1,1637.72839355,2014-08-01,2014-08-02
84,Dynamo Kyiv,UKR,1,1633.78393555,2014-08-01,2014-08-02
85,West Brom,ENG,1,1632.92822266,2014-08-01,2014-08-07
86,Barcelona B,ESP,2,1629.71887207,2014-08-01,2014-08-07
87,Stuttgart,GER,1,1628.07202148,2014-08-01,2014-08-06
88,Eibar,ESP,1,1626.61437988,2014-08-01,2014-08-06
89,Crystal Palace,ENG,1,1625.31750488,2014-08-01,2014-08-01
90,Rubin Kazan,RUS,1,1623.70336914,2014-08-01,2014-08-01
91,Besiktas,TUR,1,1623.50170898,2014-08-01,2014-08-06
92,Koeln,GER,1,1617.73510742,2014-08-01,2014-08-06
93,Aston Villa,ENG,1,1616.44152832,2014-08-01,2014-08-06
94,Bordeaux,FRA,1,1614.53015137,2014-08-01,2014-08-05
95,Burnley,ENG,1,1611.80395508,2014-08-01,2014-08-07
96,Hamburg,GER,1,1610.36572266,2014-08-01,2014-08-07
97,Udinese,ITA,1,1608.1418457,2014-08-01,2014-08-07
98,Spartak Moskva,RUS,1,1606.00646973,2014-08-01,2014-08-01
99,Cordoba,ESP,1,1604.32849121,2014-08-01,2014-08-01
100,Norwich,ENG,2,1602.50634766,2014-08-01,2014-08-05
None,Gijon,ESP,2,1601.22583008,2014-08-01,2014-08-07
None,Alcorcon,ESP,2,1600.04528809,2014-08-01,2014-08-07
None,Estoril,POR,1,1600.00488281,2014-08-01,2014-08-07
None,Feyenoord,NED,1,1599.69824219,2014-08-01,2014-08-06
None,Trabzonspor,TUR,1,1594.86376953,2014-08-01,2014-08-06
None,Anderlecht,BEL,1,1593.42199707,2014-08-01,2014-08-01
None,Astra,ROM,1,1593.00439453,2014-08-01,2014-08-03
None,FC Krasnodar,RUS,1,1592.12524414,2014-08-01,2014-08-03
None,Celtic,SCO,1,1591.61608887,2014-08-01,2014-08-06
None,Derby,ENG,2,1591.41503906,2014-08-01,2014-08-07
None,Las Palmas,ESP,2,1590.42871094,2014-08-01,2014-08-07
None,Lorient,FRA,1,1588.93359375,2014-08-01,2014-08-05
None,Kuban,RUS,1,1588.8458252,2014-08-01,2014-08-03
None,Nuernberg,GER,2,1588.63366699,2014-08-01,2014-08-03
None,Girona,ESP,2,1585.60192871,2014-08-01,2014-08-07
None,Rennes,FRA,1,1585.24536133,2014-08-01,2014-08-05
None,Verona,ITA,1,1584.78991699,2014-08-01,2014-08-07
None,Atalanta,ITA,1,1584.52001953,2014-08-01,2014-08-07
None,Twente,NED,1,1583.8684082,2014-08-01,2014-08-06
None,Fulham,ENG,2,1583.69140625,2014-08-01,2014-08-07
None,Toulouse,FRA,1,1583.31799316,2014-08-01,2014-08-05
None,Zaragoza,ESP,2,1581.05456543,2014-08-01,2014-08-07
None,Brugge,BEL,1,1580.28930664,2014-08-01,2014-08-03
None,Montpellier,FRA,1,1578.93139648,2014-08-01,2014-08-05
None,Mallorca,ESP,2,1576.85144043,2014-08-01,2014-08-07
None,QPR,ENG,1,1575.99438477,2014-08-01,2014-08-07
None,Palermo,ITA,1,1575.8527832,2014-08-01,2014-08-07
None,Nacional,POR,1,1575.63110352,2014-08-01,2014-08-07
None,Evian TG,FRA,1,1574.10754395,2014-08-01,2014-08-05
None,Fuerth,GER,2,1573.40869141,2014-08-01,2014-08-02
None,Hull,ENG,1,1572.31066895,2014-08-01,2014-08-07
None,Petrolul Ploiesti,ROM,1,1571.81518555,2014-08-01,2014-08-03
None,Numancia,ESP,2,1570.70617676,2014-08-01,2014-08-07
None,Genoa,ITA,1,1566.31054688,2014-08-01,2014-08-07
None,Standard,BEL,1,1564.0045166,2014-08-01,2014-08-02
None,Nantes,FRA,1,1562.51611328,2014-08-01,2014-08-05
None,Paderborn,GER,1,1561.69689941,2014-08-01,2014-08-07
None,Sampdoria,ITA,1,1561.52404785,2014-08-01,2014-08-07
None,M Tel Aviv,ISR,1,1561.14343262,2014-08-01,2014-08-05
None,Cagliari,ITA,1,1560.61169434,2014-08-01,2014-08-07
None,Recreativo,ESP,2,1559.17102051,2014-08-01,2014-08-07
None,Dinamo Zagreb,CRO,1,1559.17016602,2014-08-01,2014-08-02
None,Ponferradina,ESP,2,1558.5814209,2014-08-01,2014-08-07
None,PAOK,GRE,1,1556.55603027,2014-08-01,2014-08-05
None,PSV,NED,1,1554.24182129,2014-08-01,2014-08-06
None,Kasimpasa,TUR,1,1554.12609863,2014-08-01,2014-08-06
None,Braga,POR,1,1553.53356934,2014-08-01,2014-08-07
None,Bastia,FRA,1,1551.42456055,2014-08-01,2014-08-05
None,Alaves,ESP,2,1551.2779541,2014-08-01,2014-08-07
None,Terek Grozny,RUS,1,1551.06054688,2014-08-01,2014-08-04
None,Nice,FRA,1,1550.22619629,2014-08-01,2014-08-05
None,Lautern,GER,2,1549.99157715,2014-08-01,2014-08-04
None,Catania,ITA,2,1549.70080566,2014-08-01,2014-08-07
None,Braunschweig,GER,2,1549.26257324,2014-08-01,2014-08-01
None,Rapid Wien,AUT,1,1549.14929199,2014-08-01,2014-08-02
None,Sabadell,ESP,2,1549.07800293,2014-08-01,2014-08-07
None,Grasshoppers,SUI,1,1547.79602051,2014-08-01,2014-08-02
None,Wigan,ENG,2,1547.46313477,2014-08-01,2014-08-07
None,Sochaux,FRA,2,1547.28234863,2014-08-01,2014-08-02
None,Duesseldorf,GER,2,1546.09472656,2014-08-01,2014-08-01
None,Chievo,ITA,1,1545.97460938,2014-08-01,2014-08-07
None,Reading,ENG,2,1545.9519043,2014-08-01,2014-08-07
None,Reims,FRA,1,1543.99951172,2014-08-01,2014-08-05
None,Panathinaikos,GRE,1,1543.77709961,2014-08-01,2014-08-05
None,Young Boys,SUI,1,1543.30493164,2014-08-01,2014-08-03
None,Blackburn,ENG,2,1542.4864502,2014-08-01,2014-08-07
None,Malmoe,SWE,1,1541.68115234,2014-08-01,2014-08-02
None,Guingamp,FRA,1,1537.68432617,2014-08-01,2014-08-05
None,Maritimo,POR,1,1537.68127441,2014-08-01,2014-08-07
None,Rostov,RUS,1,1536.15979004,2014-08-01,2014-08-03
None,Lugo,ESP,2,1534.64208984,2014-08-01,2014-08-07
None,Austria Wien,AUT,1,1534.52978516,2014-08-01,2014-08-02
None,Brighton,ENG,2,1534.39196777,2014-08-01,2014-08-07
None,Zuerich,SUI,1,1533.9041748,2014-08-01,2014-08-03
None,Legia,POL,1,1533.52722168,2014-08-01,2014-08-02
None,Tenerife,ESP,2,1533.26074219,2014-08-01,2014-08-07
