Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2087.62817383,2015-06-07,2015-07-30
2,Real Madrid,ESP,1,2062.57592773,2015-06-07,2015-07-30
3,Bayern,GER,1,1980.29663086,2015-05-24,2015-07-30
4,Atletico,ESP,1,1945.39624023,2015-06-07,2015-07-30
5,Juventus,ITA,1,1932.65661621,2015-06-07,2015-07-30
6,Sevilla,ESP,1,1917.33581543,2015-06-07,2015-07-30
7,Chelsea,ENG,1,1897.8079834,2015-07-17,2015-07-23
8,Man City,ENG,1,1889.32141113,2015-07-17,2015-07-23
9,Valencia,ESP,1,1889.14929199,2015-06-07,2015-07-23
10,Paris SG,FRA,1,1863.70495605,2015-05-24,2015-07-28
11,Arsenal,ENG,1,1858.07507324,2015-07-17,2015-07-23
12,Benfica,POR,1,1834.47937012,2015-05-24,2015-07-30
13,Porto,POR,1,1823.87084961,2015-05-24,2015-07-30
14,Wolfsburg,GER,1,1822.11584473,2015-05-25,2015-07-30
15,Leverkusen,GER,1,1819.16906738,2015-05-25,2015-07-30
16,Man United,ENG,1,1817.18334961,2015-07-17,2015-07-23
17,Gladbach,GER,1,1815.40820312,2015-05-24,2015-07-23
18,Bilbao,ESP,1,1803.68237305,2015-06-07,2015-07-30
19,Dortmund,GER,1,1789.9987793,2015-05-24,2015-07-30
20,Villarreal,ESP,1,1777.29736328,2015-06-07,2015-07-26
21,Zenit,RUS,1,1772.23486328,2015-07-20,2015-07-26
22,Celta,ESP,1,1772.02062988,2015-07-20,2015-07-30
23,Fiorentina,ITA,1,1763.25158691,2015-06-07,2015-07-28
24,Napoli,ITA,1,1759.86315918,2015-06-07,2015-07-28
25,Liverpool,ENG,1,1759.67346191,2015-07-17,2015-07-23
26,Monaco,FRA,1,1759.18811035,2015-06-01,2015-07-28
27,Lazio,ITA,1,1756.37695312,2015-06-07,2015-07-30
28,Shakhtar,UKR,1,1756.00305176,2015-07-20,2015-07-23
29,Roma,ITA,1,1754.84667969,2015-07-20,2015-07-24
30,CSKA Moskva,RUS,1,1751.22412109,2015-07-19,2015-07-24
31,Sociedad,ESP,1,1749.53210449,2015-07-19,2015-07-28
32,Dynamo Kyiv,UKR,1,1746.86328125,2015-07-20,2015-07-25
33,Espanyol,ESP,1,1742.21679688,2015-06-07,2015-07-28
34,Lyon,FRA,1,1740.05627441,2015-05-28,2015-07-28
35,Tottenham,ENG,1,1737.52526855,2015-07-17,2015-07-23
36,Malaga,ESP,1,1721.99182129,2015-06-07,2015-07-30
37,Schalke,GER,1,1717.60766602,2015-06-01,2015-07-30
38,Sporting,POR,1,1716.52539062,2015-06-01,2015-07-30
39,Southampton,ENG,1,1715.6394043,2015-07-17,2015-07-23
40,Everton,ENG,1,1713.40625,2015-07-17,2015-07-23
41,Saint-Etienne,FRA,1,1708.0300293,2015-06-08,2015-07-28
42,Inter,ITA,1,1706.23278809,2015-06-08,2015-07-30
43,Stoke,ENG,1,1705.15380859,2015-07-17,2015-07-23
44,FC Krasnodar,RUS,1,1705.12854004,2015-07-21,2015-07-23
45,Rayo Vallecano,ESP,1,1704.31591797,2015-07-21,2015-07-23
46,Marseille,FRA,1,1701.39025879,2015-07-21,2015-07-23
47,Fenerbahce,TUR,1,1699.11694336,2015-07-17,2015-07-23
48,Gijon,ESP,1,1698.63415527,2015-07-02,2015-07-25
49,Betis,ESP,1,1697.06896973,2015-07-02,2015-07-25
50,Augsburg,GER,1,1696.99621582,2015-06-08,2015-07-25
51,Milan,ITA,1,1696.07287598,2015-06-08,2015-07-25
52,Basel,SUI,1,1691.54724121,2015-07-20,2015-07-23
53,Levante,ESP,1,1684.51904297,2015-06-08,2015-07-30
54,Elche,ESP,2,1684.48840332,2015-07-02,2015-07-30
55,Torino,ITA,1,1681.97473145,2015-06-15,2015-07-30
56,Mainz,GER,1,1678.95947266,2015-06-15,2015-07-30
57,Swansea,ENG,1,1677.45324707,2015-07-17,2015-07-23
