Rank,Club,Country,Level,Elo,From,To
1,Chelsea,ENG,1,1958.20678711,2005-07-27,2005-08-02
2,Arsenal,ENG,1,1911.86584473,2005-07-27,2005-08-02
3,Milan,ITA,1,1901.33459473,2005-05-30,2005-08-10
4,Lyon,FRA,1,1895.23547363,2005-08-01,2005-08-07
5,Barcelona,ESP,1,1887.3848877,2005-05-30,2005-08-09
6,Real Madrid,ESP,1,1881.67736816,2005-05-30,2005-08-09
7,Juventus,ITA,1,1879.34692383,2005-05-30,2005-08-10
8,Bayern,GER,1,1865.66394043,2005-07-29,2005-08-05
9,Man United,ENG,1,1862.81445312,2005-07-27,2005-08-02
10,PSV,NED,1,1853.49267578,2005-05-30,2005-08-10
11,Inter,ITA,1,1851.79602051,2005-05-30,2005-08-10
12,Villarreal,ESP,1,1836.72338867,2005-05-30,2005-08-09
13,Liverpool,ENG,1,1814.71948242,2005-07-27,2005-08-02
14,Monaco,FRA,1,1803.00769043,2005-07-31,2005-08-06
15,Valencia,ESP,1,1799.37194824,2005-07-31,2005-08-06
16,Betis,ESP,1,1796.77172852,2005-05-30,2005-08-06
17,Werder,GER,1,1769.75512695,2005-07-29,2005-08-06
18,Espanyol,ESP,1,1762.26647949,2005-07-10,2005-08-09
19,Lille,FRA,1,1762.00048828,2005-07-31,2005-08-06
20,Sevilla,ESP,1,1759.3359375,2005-07-31,2005-08-07
21,Leverkusen,GER,1,1752.36767578,2005-07-29,2005-08-07
22,Ajax,NED,1,1745.6463623,2005-07-31,2005-08-10
23,CSKA Moskva,RUS,1,1745.22729492,2005-07-31,2005-08-03
24,Malaga,ESP,1,1736.87719727,2005-06-17,2005-08-03
25,Bolton,ENG,1,1736.26953125,2005-07-27,2005-08-02
26,Bilbao,ESP,1,1735.76806641,2005-06-17,2005-08-03
27,Lok Moskva,RUS,1,1735.26586914,2005-07-31,2005-08-03
28,Depor,ESP,1,1731.82519531,2005-07-31,2005-08-09
29,Udinese,ITA,1,1730.14746094,2005-07-31,2005-08-09
30,Atletico,ESP,1,1729.34094238,2005-07-31,2005-08-09
31,Paris SG,FRA,1,1727.10559082,2005-07-30,2005-08-06
32,Porto,POR,1,1726.59838867,2005-07-30,2005-08-06
33,Hertha,GER,1,1725.70629883,2005-07-30,2005-08-06
34,Man City,ENG,1,1725.17553711,2005-07-30,2005-08-02
35,Newcastle,ENG,1,1723.82214355,2005-07-31,2005-08-02
36,Dynamo Kyiv,UKR,1,1721.6875,2005-07-31,2005-08-03
37,Dortmund,GER,1,1721.65966797,2005-07-30,2005-08-03
38,Rennes,FRA,1,1719.75708008,2005-07-31,2005-08-03
39,Middlesbrough,ENG,1,1719.01550293,2005-07-27,2005-08-02
40,Stuttgart,GER,1,1713.8782959,2005-07-29,2005-08-03
41,Zaragoza,ESP,1,1713.4342041,2005-05-30,2005-08-03
42,Sampdoria,ITA,1,1711.65600586,2005-05-30,2005-08-03
43,Sociedad,ESP,1,1710.87329102,2005-05-30,2005-08-03
44,Sporting,POR,1,1705.68701172,2005-07-31,2005-08-03
45,Tottenham,ENG,1,1705.45385742,2005-07-31,2005-08-02
