Rank,Club,Country,Level,Elo,From,To
1,Man United,ENG,1,1995.64465332,2009-05-28,2009-07-30
2,Liverpool,ENG,1,1979.56164551,2009-05-31,2009-07-30
3,Chelsea,ENG,1,1976.2590332,2009-05-31,2009-07-30
4,Barcelona,ESP,1,1975.8671875,2009-05-31,2009-07-30
5,Arsenal,ENG,1,1894.8548584,2009-05-28,2009-07-30
6,Inter,ITA,1,1859.50622559,2009-06-01,2009-07-30
7,Real Madrid,ESP,1,1855.62670898,2009-06-01,2009-07-30
8,Bayern,GER,1,1844.19702148,2009-05-25,2009-07-30
9,Sevilla,ESP,1,1838.53527832,2009-06-01,2009-07-23
10,Porto,POR,1,1837.54589844,2009-07-17,2009-07-23
11,Atletico,ESP,1,1836.66833496,2009-06-01,2009-07-25
12,Dynamo Kyiv,UKR,1,1833.80834961,2009-07-19,2009-07-23
13,Juventus,ITA,1,1829.22766113,2009-06-01,2009-07-25
14,Shakhtar,UKR,1,1827.81225586,2009-07-19,2009-07-23
15,Everton,ENG,1,1826.15576172,2009-07-17,2009-07-29
16,Milan,ITA,1,1818.57055664,2009-06-01,2009-07-30
17,Villarreal,ESP,1,1810.55407715,2009-06-01,2009-07-30
18,Wolfsburg,GER,1,1799.67956543,2009-05-28,2009-07-30
19,Bordeaux,FRA,1,1796.42321777,2009-05-31,2009-07-30
20,Lyon,FRA,1,1782.24633789,2009-05-31,2009-07-30
21,Roma,ITA,1,1781.77246094,2009-06-01,2009-07-30
22,Mallorca,ESP,1,1775.50537109,2009-05-31,2009-07-30
23,Marseille,FRA,1,1774.89709473,2009-05-31,2009-07-30
24,Valencia,ESP,1,1770.64685059,2009-05-31,2009-07-30
25,Stuttgart,GER,1,1764.90563965,2009-05-31,2009-07-30
26,Aston Villa,ENG,1,1747.9654541,2009-06-01,2009-07-30
27,Fiorentina,ITA,1,1744.0078125,2009-06-01,2009-07-30
28,Tottenham,ENG,1,1742.94238281,2009-05-28,2009-07-30
29,Espanyol,ESP,1,1740.18347168,2009-06-15,2009-07-30
30,Werder,GER,1,1735.0378418,2009-06-15,2009-07-30
31,Fulham,ENG,1,1733.57055664,2009-06-15,2009-07-30
32,Hamburg,GER,1,1732.74121094,2009-06-15,2009-07-30
33,CSKA Moskva,RUS,1,1731.21362305,2009-07-19,2009-07-22
34,Depor,ESP,1,1730.7310791,2009-07-19,2009-07-22
35,Sporting,POR,1,1729.59667969,2009-07-19,2009-07-22
36,Dortmund,GER,1,1728.46972656,2009-07-19,2009-07-22
37,Zaragoza,ESP,1,1726.59008789,2009-07-19,2009-07-22
38,Santander,ESP,1,1726.04956055,2009-07-19,2009-07-22
39,Udinese,ITA,1,1719.13684082,2009-06-07,2009-07-26
40,Man City,ENG,1,1718.44702148,2009-06-07,2009-07-26
41,West Ham,ENG,1,1717.32141113,2009-06-07,2009-07-26
42,Osasuna,ESP,1,1716.99377441,2009-06-07,2009-07-26
43,Lille,FRA,1,1716.58239746,2009-06-07,2009-07-26
44,Genoa,ITA,1,1713.14123535,2009-06-01,2009-07-26
45,Schalke,GER,1,1712.9173584,2009-06-01,2009-07-26
46,Getafe,ESP,1,1708.89978027,2009-06-01,2009-07-30
47,Toulouse,FRA,1,1705.5423584,2009-06-01,2009-07-30
48,Betis,ESP,2,1703.79455566,2009-07-02,2009-07-30
49,Rennes,FRA,1,1701.35693359,2009-06-01,2009-07-30
50,Paris SG,FRA,1,1697.44360352,2009-07-20,2009-07-30
51,Malaga,ESP,1,1694.47106934,2009-07-20,2009-07-30
52,Blackburn,ENG,1,1693.72998047,2009-07-20,2009-07-30
53,Almeria,ESP,1,1693.50402832,2009-07-20,2009-07-30
54,Bilbao,ESP,1,1689.53015137,2009-07-20,2009-07-30
55,Panathinaikos,GRE,1,1689.05554199,2009-07-20,2009-07-23
56,Zenit,RUS,1,1687.95056152,2009-07-20,2009-07-23
57,Leverkusen,GER,1,1684.28723145,2009-06-01,2009-07-23
58,Hertha,GER,1,1681.85473633,2009-07-17,2009-07-28
59,Benfica,POR,1,1681.69787598,2009-07-17,2009-07-23
60,Palermo,ITA,1,1677.66503906,2009-06-01,2009-07-23
61,Valladolid,ESP,1,1675.23364258,2009-06-01,2009-07-28
62,Hercules,ESP,2,1673.80273438,2009-06-21,2009-07-28
63,Metalist,UKR,1,1670.74060059,2009-07-20,2009-07-23
64,Olympiakos,GRE,1,1666.78051758,2009-07-17,2009-07-23
65,Portsmouth,ENG,1,1666.55395508,2009-07-17,2009-07-23
66,Bolton,ENG,1,1665.67175293,2009-07-10,2009-07-23
67,Rangers,SCO,1,1663.55187988,2009-07-17,2009-07-23
68,Auxerre,FRA,1,1662.66662598,2009-07-10,2009-07-23
69,PSV,NED,1,1661.63354492,2009-07-17,2009-07-23
70,Wigan,ENG,1,1660.17541504,2009-07-17,2009-07-23
71,Besiktas,TUR,1,1659.58459473,2009-07-17,2009-07-23
72,Tenerife,ESP,1,1659.02978516,2009-07-17,2009-07-23
73,Xerez,ESP,1,1657.30053711,2009-07-17,2009-07-23
74,Cagliari,ITA,1,1654.59606934,2009-07-19,2009-07-23
75,Sampdoria,ITA,1,1653.765625,2009-07-19,2009-07-23
76,Standard,BEL,1,1651.90600586,2009-07-19,2009-07-23
77,Newcastle,ENG,2,1651.59375,2009-07-19,2009-07-28
78,Celtic,SCO,1,1649.65087891,2009-07-19,2009-07-23
79,Braga,POR,1,1648.49768066,2009-07-19,2009-07-23
