Rank,Club,Country,Level,Elo,From,To
1,Real Madrid,ESP,1,2083.37817383,2017-06-04,2017-07-27
2,Barcelona,ESP,1,2022.00830078,2017-06-04,2017-07-27
3,Bayern,GER,1,1998.8458252,2017-05-21,2017-07-27
4,Atletico,ESP,1,1952.35705566,2017-06-04,2017-07-27
5,Juventus,ITA,1,1943.51904297,2017-06-04,2017-07-27
6,Chelsea,ENG,1,1909.06420898,2017-05-25,2017-07-27
7,Tottenham,ENG,1,1887.17651367,2017-05-25,2017-07-27
8,Paris SG,FRA,1,1876.3145752,2017-05-21,2017-07-26
9,Monaco,FRA,1,1873.78088379,2017-05-21,2017-07-26
10,Man City,ENG,1,1866.47155762,2017-05-25,2017-07-27
11,Dortmund,GER,1,1865.3236084,2017-06-04,2017-07-27
12,Napoli,ITA,1,1863.18408203,2017-06-04,2017-07-27
13,Man United,ENG,1,1857.46655273,2017-05-25,2017-07-27
14,Arsenal,ENG,1,1847.9510498,2017-05-25,2017-07-27
15,Roma,ITA,1,1838.82324219,2017-06-04,2017-07-27
16,Liverpool,ENG,1,1837.0802002,2017-05-25,2017-07-27
17,Sevilla,ESP,1,1813.92907715,2017-06-04,2017-07-27
18,Villarreal,ESP,1,1794.53710938,2017-06-04,2017-07-27
19,Benfica,POR,1,1786.35913086,2017-05-27,2017-07-27
20,Bilbao,ESP,1,1782.55102539,2017-06-04,2017-07-27
21,Shakhtar,UKR,1,1779.69067383,2017-07-19,2017-07-22
22,Hoffenheim,GER,1,1772.8458252,2017-05-21,2017-07-22
23,Sociedad,ESP,1,1768.68432617,2017-06-04,2017-07-22
24,Everton,ENG,1,1750.16479492,2017-05-25,2017-07-22
25,Zenit,RUS,1,1748.69689941,2017-07-17,2017-07-22
26,Ajax,NED,1,1748.03527832,2017-07-21,2017-07-26
27,Porto,POR,1,1730.00170898,2017-07-22,2017-07-26
28,Leverkusen,GER,1,1728.48950195,2017-07-22,2017-07-26
29,Gladbach,GER,1,1724.93786621,2017-07-22,2017-07-22
30,Malaga,ESP,1,1724.68518066,2017-07-22,2017-07-22
