Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2035.2298584,2022-05-29,2022-08-06
2,Man City,ENG,1,2025.36242676,2022-05-29,2022-08-07
3,Real Madrid,ESP,1,1983.21142578,2022-05-29,2022-08-14
4,Bayern,GER,1,1958.39099121,2022-05-19,2022-08-05
5,Chelsea,ENG,1,1899.17883301,2022-05-29,2022-08-06
6,Ajax,NED,1,1877.35253906,2022-07-22,2022-07-28
7,Barcelona,ESP,1,1876.09997559,2022-05-29,2022-08-13
8,Atletico,ESP,1,1868.68554688,2022-05-29,2022-08-06
9,Tottenham,ENG,1,1866.82617188,2022-05-29,2022-08-06
10,Inter,ITA,1,1864.37280273,2022-05-26,2022-08-13
11,Paris SG,FRA,1,1859.98059082,2022-05-23,2022-08-02
12,Arsenal,ENG,1,1851.63745117,2022-05-29,2022-08-05
13,Villarreal,ESP,1,1840.61816406,2022-05-29,2022-08-13
14,Milan,ITA,1,1833.66491699,2022-05-26,2022-08-11
15,Porto,POR,1,1830.7956543,2022-07-22,2022-07-28
16,Sevilla,ESP,1,1826.72570801,2022-05-29,2022-08-12
17,RB Leipzig,GER,1,1811.91796875,2022-05-29,2022-08-07
18,Man United,ENG,1,1810.87280273,2022-05-29,2022-08-07
19,Napoli,ITA,1,1801.03137207,2022-05-26,2022-08-06
20,Dortmund,GER,1,1800.09008789,2022-05-26,2022-08-06
21,Leverkusen,GER,1,1795.11633301,2022-05-22,2022-08-06
22,Juventus,ITA,1,1783.34936523,2022-05-29,2022-08-13
23,West Ham,ENG,1,1783.21508789,2022-05-29,2022-08-07
24,Leicester,ENG,1,1779.56384277,2022-05-29,2022-08-07
25,Betis,ESP,1,1779.06152344,2022-05-29,2022-08-07
26,Sporting,POR,1,1771.18811035,2022-07-22,2022-07-28
27,Benfica,POR,1,1765.28723145,2022-07-22,2022-07-22
28,Salzburg,AUT,1,1764.28930664,2022-07-22,2022-07-22
29,PSV,NED,1,1761.97192383,2022-07-22,2022-07-28
30,Brighton,ENG,1,1760.24414062,2022-05-29,2022-07-30
31,Newcastle,ENG,1,1757.10473633,2022-05-29,2022-08-04
32,Sociedad,ESP,1,1756.51818848,2022-05-29,2022-08-04
33,Roma,ITA,1,1755.54748535,2022-05-26,2022-08-04
34,Crystal Palace,ENG,1,1754.06225586,2022-05-29,2022-08-05
35,Monaco,FRA,1,1750.30493164,2022-05-26,2022-08-02
36,Aston Villa,ENG,1,1740.72729492,2022-05-29,2022-08-06
37,Bilbao,ESP,1,1739.39782715,2022-05-29,2022-08-06
38,Frankfurt,GER,1,1737.72570801,2022-05-29,2022-08-05
39,Lyon,FRA,1,1737.05541992,2022-05-29,2022-08-02
40,Union Berlin,GER,1,1731.28527832,2022-05-26,2022-08-05
41,Atalanta,ITA,1,1730.77172852,2022-05-26,2022-08-05
42,Feyenoord,NED,1,1728.26611328,2022-07-22,2022-07-28
43,Wolves,ENG,1,1725.27648926,2022-05-29,2022-08-06
44,Lazio,ITA,1,1721.72131348,2022-05-26,2022-08-07
45,Rennes,FRA,1,1720.27819824,2022-05-26,2022-08-02
46,Marseille,FRA,1,1719.15734863,2022-05-26,2022-08-02
47,Freiburg,GER,1,1719.10107422,2022-05-26,2022-08-02
48,Brentford,ENG,1,1714.46875,2022-07-22,2022-08-06
49,Rangers,SCO,1,1713.45593262,2022-07-22,2022-07-28
50,Gladbach,GER,1,1712.01818848,2022-05-19,2022-07-28
51,Celta,ESP,1,1708.48352051,2022-05-29,2022-07-28
